Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,Sportdirect.ca,Search,Google search,130000,Daily,Manual CPC,,en,2826;2250;2056;2840;2724;2620;2040;2276;2380,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Sportdirect.ca,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Sportdirect.ca,,,,,,,,,,AG-1,,Enabled,sportdirect,Exact match,650,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,Sportdirect.ca,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,Sportdirect Official Store,Sports Gear Big Brands,Up To 70% Off Today,Free Shipping Over $99,Nike Adidas Puma Deals,Football Soccer Boots,Running Shoes Sale,Gym Fitness Equipment,Tennis Cricket Golf Gear,Cycling Outdoor Gear,Kids Sports Clothing,Top Quality Big Savings,Shop New Arrivals Now,Loyalty Member Rewards,Best Sports Store Online,Top brand sports gear at Sportdirect. Save up to 70% with free shipping over $99.,"Nike, Adidas, Puma, Under Armour and more. Latest arrivals every week.","Football boots, running shoes, gym kit and outdoor gear for the whole family.",Trusted sports retailer with loyalty rewards and unbeatable seasonal deals.,https://www.sportdirect.ca?sca_ref=11112749.1XMyp0ssgZ,,,,
Sitelink,Add,,Sportdirect.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://www.sportdirect.ca?sca_ref=11112749.1XMyp0ssgZ&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,Sportdirect.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://www.sportdirect.ca?sca_ref=11112749.1XMyp0ssgZ,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,Sportdirect.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://www.sportdirect.ca?sca_ref=11112749.1XMyp0ssgZ&2,Create new,Campaign,All Blog,
Callout,Add,,Sportdirect.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,Sportdirect.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,Sportdirect.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,Sportdirect.ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
