Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,Life-Space US,Search,Google search,150654,Daily,Manual CPC,,en,2036;2840;2124;2276;2724,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,Life-Space US,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,Life-Space US,,,,,,,,,,AG-1,,Enabled,life space,Exact match,1500,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,Life-Space US,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,Life-Space Official Store,Life-Space Big Sale Today,Up To 30% Off Today,Free Shipping Available,Shop Life-Space Best Sellers,Code NYMBUS Save More,New Arrivals Weekly,Premium Quality Build,Best Life-Space Deals 2026,Worldwide Fast Shipping,Trusted Online Store,Buy Life-Space Online Now,Member Reward Program,Easy Returns Available,Top Rated Brand,Premium picks at Life-Space. Save up to 30% with free shipping on selected items today.,"Trusted online store with Life-Space best sellers, new arrivals and exclusive promo codes.",Use code NYMBUS for an extra discount. Worldwide shipping with easy online returns.,Member reward program and top rated service. Discover Life-Space essentials made simple.,https://life-space.us/?ref=NGUYENDINHKHANH,,,,
Sitelink,Add,,Life-Space US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://life-space.us/?ref=NGUYENDINHKHANH&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,Life-Space US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://life-space.us/?ref=NGUYENDINHKHANH,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,Life-Space US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://life-space.us/?ref=NGUYENDINHKHANH&2,Create new,Campaign,All Blog,
Callout,Add,,Life-Space US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,Life-Space US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,Life-Space US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,Life-Space US,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
