Row Type,Action,Campaign status,Campaign,Campaign type,Networks,Budget,Budget type,Bid strategy type,Maximum CPC bid limit,Language,Location,EU political ads,Ad group,Status,Keyword status,Keyword,Match Type,Max CPC,Ad status,Ad type,Headline 1,Headline 2,Headline 3,Headline 4,Headline 5,Headline 6,Headline 7,Headline 8,Headline 9,Headline 10,Headline 11,Headline 12,Headline 13,Headline 14,Headline 15,Description,Description 2,Description 3,Description 4,Final URL,Asset action,Level,Sitelink text,Callout text
Campaign,Add,Enabled,SOOTIF.COM,Search,Google search,150654,Daily,Manual CPC,,en,2826;2724;2380,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad group,Add,,SOOTIF.COM,,,,,,,,,,AG-1,Enabled,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Keyword,Add,,SOOTIF.COM,,,,,,,,,,AG-1,,Enabled,sootif,Exact match,301,,,,,,,,,,,,,,,,,,,,,,,,,,
Ad,Add,,SOOTIF.COM,,,,,,,,,,AG-1,,,,,,Enabled,Responsive search ad,SOOTIF.COM Official Store,SOOTIF.COM Big Sale Today,Up To 30% Off Today,Free Shipping Available,Shop SOOTIF.COM Best Sellers,Code NYMBUS Save More,New Arrivals Weekly,Premium Quality Build,Best SOOTIF.COM Deals 2026,Worldwide Fast Shipping,Trusted Online Store,Buy SOOTIF.COM Online Now,Member Reward Program,Easy Returns Available,Top Rated Brand,Premium picks at SOOTIF.COM. Save up to 30% with free shipping on selected items today.,"Trusted online store with SOOTIF.COM best sellers, new arrivals and exclusive promo codes.",Use code NYMBUS for an extra discount. Worldwide shipping with easy online returns.,Member reward program and top rated service. Discover SOOTIF.COM essentials made simple.,https://sootif.com/?ref=iabtybzv,,,,
Sitelink,Add,,SOOTIF.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Provide the best coupons,Rated by the user,,,https://sootif.com/?ref=iabtybzv&1,Create new,Campaign,Today's Top Coupon,
Sitelink,Add,,SOOTIF.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sale Up To 60%,To save your money,,,https://sootif.com/?ref=iabtybzv,Create new,Campaign,Best Deals Of The Days,
Sitelink,Add,,SOOTIF.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Save with All Blog coupons,Discounts and promo codes for,,,https://sootif.com/?ref=iabtybzv&2,Create new,Campaign,All Blog,
Callout,Add,,SOOTIF.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Rate: 4.93 / 5.0
Callout,Add,,SOOTIF.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,100% Working Code
Callout,Add,,SOOTIF.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,All Code Verified
Callout,Add,,SOOTIF.COM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Create new,Campaign,,Free Code
